id,document,tag,content
19,O1.docx,1. Kullanım,Sabah toplantısı Muhittin Taşdemir: Sabah toplantıda kullanılacak ya da sınıfta kimler var yoklaması her öğrencinin özel bir XXX öğrenciye özgü tanımladığımız bir sembol var
19,O1.docx,1c. Etkinlik sembolleri,Sabah toplantısı Muhittin Taşdemir: Sabah toplantıda kullanılacak ya da sınıfta kimler var yoklaması her öğrencinin özel bir XXX öğrenciye özgü tanımladığımız bir sembol var
19,O1.docx,1c. Kişi sembolleri,Sabah toplantısı Muhittin Taşdemir: Sabah toplantıda kullanılacak ya da sınıfta kimler var yoklaması her öğrencinin özel bir XXX öğrenciye özgü tanımladığımız bir sembol var
20,O1.docx,1. Kullanım,Muhittin Taşdemir: Tabi o öğrencinin yani hoşlandığı ya da öğrenci ile ilişkili olan bir nitelik olarak ya da öğrencinin hoşlandığı ya da onun için XXX
20,O1.docx,1c. Kişi sembolleri,Muhittin Taşdemir: Tabi o öğrencinin yani hoşlandığı ya da öğrenci ile ilişkili olan bir nitelik olarak ya da öğrencinin hoşlandığı ya da onun için XXX
20,O1.docx,1d. Kişisel ilgilere uygunluk,Muhittin Taşdemir: Tabi o öğrencinin yani hoşlandığı ya da öğrenci ile ilişkili olan bir nitelik olarak ya da öğrencinin hoşlandığı ya da onun için XXX
21,O1.docx,1b. Bütün nesne,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
21,O1.docx,1b. İlişkili nesne,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
21,O1.docx,1. Kullanım,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
21,O1.docx,1d. Nesne/somut materyal,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
21,O1.docx,1c. Kişi sembolleri,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
21,O1.docx,1d. Kişisel ilgilere uygunluk,"Muhittin Taşdemir: Örneğin bir kız çocuğu var, kız çocuğu takı takmaktan süslenmekten çok hoşlanıyor ona bir toka sembolü verdik."
22,O1.docx,1b. Bütün nesne,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
22,O1.docx,1b. İlişkili nesne,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
22,O1.docx,1. Kullanım,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
22,O1.docx,1d. Nesne/somut materyal,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
22,O1.docx,1c. Kişi sembolleri,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
22,O1.docx,1d. Kişisel ilgilere uygunluk,Ya da diğer bir erkek çocuğu küçük erkek çocuğuna araba sembolü verdik. Müzikten hoşlanan resim yapan bir çocuğu darbukayı seven bir çocuğa küçük bir davul sembolü koyduk mesela.
23,O1.docx,1. Kullanım,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
23,O1.docx,1d. Nesne/somut materyal,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
23,O1.docx,1c. Etkinlik sembolleri,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
23,O1.docx,1c. Kişi sembolleri,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
23,O1.docx,2a: Sosyal etkileşim,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
23,O1.docx,2. Gelişim Alanları,Bunlar tabi bu sembol 5 tane ayrı sembol oluyor 5 öğrenci olduğu için sınıfta her sembolü her çocuk hangi salonda bildiği için sınıfta sembol dokunur ve sınıfta bugün kimler varı yani sembolize arkadaş aynı durumda var olduğunu hissettirir. Çocuk gelse hiç konuşmasa bile yani o sembolü sayesinde bugün o sınıfta o arkadaşının olduğunun farkına varır yani.
24,O1.docx,1. Kullanım,"Bunun dışında ders sembollerimiz var demiştim,"
24,O1.docx,1c. Etkinlik sembolleri,"Bunun dışında ders sembollerimiz var demiştim,"
24,O1.docx,1c. Zaman/takvim sembolleri,"Bunun dışında ders sembollerimiz var demiştim,"
25,O1.docx,1. Kullanım,sonra mevsim kartlarındaki mevsim özelliklerini belirten yani o semboller belirtilir.
25,O1.docx,1c. Etkinlik sembolleri,sonra mevsim kartlarındaki mevsim özelliklerini belirten yani o semboller belirtilir.
25,O1.docx,2. Gelişim Alanları,sonra mevsim kartlarındaki mevsim özelliklerini belirten yani o semboller belirtilir.
25,O1.docx,2a: Akademik beceriler,sonra mevsim kartlarındaki mevsim özelliklerini belirten yani o semboller belirtilir.
26,O1.docx,1b. Bütün nesne,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1b. Nesne parçası,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1b. İlişkili nesne,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1. Kullanım,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1d. Nesne/somut materyal,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1c. Etkinlik sembolleri,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1d. Kişisel ilgilere uygunluk,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
26,O1.docx,1c. Zaman/takvim sembolleri,Ders sembollerine değinelim mesela beden eğitimi için bir spor dersinde ne yaparız spor ayakkabı giyeriz küçük futbol topu vardır mesela minik futbol topu ortadan ikiye ayrılır kartın üstüne yapıştırılır. Ya da mesela bir din kültürü dersi için biz genelde evde bu çocuklar namaz kıldığı için amin dendiği için seccade ve tesbih vardır mesela biz tesbihi koyduğumuz zaman çocuk onun din kültürü dersi olduğunu anlar. Yemeğe gitmek için bir kaşık sembolü vardır örneğin ya da kahvaltı için bir meyve suyunun üzerini keseriz pipetle beraber onu monte ederiz. Kahvaltıda ne yapılır meyve suyu içilir mantığından gidildiği zaman. Bu ilişkili bağlama XXX birçok sembolümüz var yani yaklaşık 13-14 dersimiz var yani her dersin ayrı bir sembolü var.
27,O1.docx,1b. Bütün nesne,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1b. Nesne parçası,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1b. İlişkili nesne,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1. Kullanım,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1d. Nesne/somut materyal,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1c. Etkinlik sembolleri,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
27,O1.docx,1c. Zaman/takvim sembolleri,Resimde görsel sanatlarda Mustafa Doğuş: Hepsinin ayrı ayrı var Muhittin Taşdemir: Pastel boyadır
28,O1.docx,1b. İlişkili nesne,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,1b. Dokunsal resim/grafik,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,1. Kullanım,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,1d. Nesne/somut materyal,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,1c. Etkinlik sembolleri,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,2a: Akademik beceriler,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
28,O1.docx,1c. Zaman/takvim sembolleri,mesela onun dışında hayat bilgisinde ev sembolü vardır mesela çünkü evimizle ilgili ailemizle ilgili konuşuyoruz hayat bilgisi derslerinde.
29,O1.docx,1. Kullanım,Bu vardır Matematikte ya XXX koyarız fasülye ya çubuk koyarız sayfa becerilerini yapabildiğini göstermesi için bu yani.
29,O1.docx,1d. Nesne/somut materyal,Bu vardır Matematikte ya XXX koyarız fasülye ya çubuk koyarız sayfa becerilerini yapabildiğini göstermesi için bu yani.
29,O1.docx,1c. Etkinlik sembolleri,Bu vardır Matematikte ya XXX koyarız fasülye ya çubuk koyarız sayfa becerilerini yapabildiğini göstermesi için bu yani.
29,O1.docx,2a: Akademik beceriler,Bu vardır Matematikte ya XXX koyarız fasülye ya çubuk koyarız sayfa becerilerini yapabildiğini göstermesi için bu yani.
29,O1.docx,1c. Zaman/takvim sembolleri,Bu vardır Matematikte ya XXX koyarız fasülye ya çubuk koyarız sayfa becerilerini yapabildiğini göstermesi için bu yani.
30,O1.docx,1b. Bütün nesne,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
30,O1.docx,1b. Nesne parçası,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
30,O1.docx,1b. İlişkili nesne,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
30,O1.docx,1. Kullanım,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
30,O1.docx,1c. Etkinlik sembolleri,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
30,O1.docx,1c. Zaman/takvim sembolleri,Normalde şöyle ilk başta biz 2011 değil pardon 2012 de her çocuk için ayrı sembol şeyine girdik anlatabildim mi daha sonra sembollerimizi genelleştirdik. Tek ders mesela matematik dersinin sembolü fasülye taneleri sayma yapabildiği için anlatabildim mi? Veya işte beslenmenin sembolü nedir mesela kaşık sembolü küçük çay kaşığı sembolü yani anlatabildim mi? Sembolleri genelleştirdik yani. Öyle olunca da çocuklar tekrarın ardından artık hangi ders hangi sembol olduğunu biliyor ve aynı zamanda
31,O1.docx,1. Kullanım,O sembolün altında işlevsel okuma kazanmak için de hem gören yazı hem Braille de o dersin tanımlı ismi yazar altında örneğin matematikse altında Brailleli olarak matematik yazar altında ya da Braille olarak şey olarak ta matematik yazar yani. İkisi beraber. Her ikisi de işlevsel okuma amaçlı olarak yani hem bu az görüşlü çocuklar için hem de total ve XXX yapılan çocuklar içinde işlevsel okuma kartı olarak ta kullanılmak ta bu dersler.
